zone,object,component,index,concentration
3,1,0,85,4.119910312623814
3,1,0,86,4.032803835349354
3,1,0,87,3.9435703090781704
3,1,0,88,3.8523465943179365
3,1,0,89,3.759314032363672
3,1,0,90,3.664721758228462
3,1,0,91,3.568927451794224
3,1,0,92,3.472468542342807
3,1,0,93,3.3761864051213855
3,1,0,94,3.281442492991816
3,1,0,95,3.1904935456609134
3,1,0,96,3.1071413970515813
3,1,0,97,3.037855733301331
3,1,0,98,2.9937097021544363
3,1,0,99,2.9937097021544306
3,1,1,0,1.1395711913621889
3,1,1,1,1.1414661320740018
3,1,1,2,1.1435707792124352
3,1,1,3,1.145903070507317
3,1,1,4,1.1484817856025016
3,1,1,5,1.151326498237431
3,1,1,6,1.1544575154740373
3,1,1,7,1.15789580337525
3,1,1,8,1.1616628986881188
3,1,1,9,1.1657808062549746
3,1,1,10,1.1702718820693119
3,1,1,11,1.1751587021071455
3,1,1,12,1.180463917297451
3,1,1,13,1.186210095243749
3,1,1,14,1.1924195495692262
3,1,1,15,1.1991141580259508
3,1,1,16,1.2063151707794375
3,1,1,17,1.214043010548167
3,1,1,18,1.2223170665374408
3,1,1,19,1.231155484352418
3,1,1,20,1.2405749542999018
3,1,1,21,1.2505905006863753
3,1,1,22,1.261215274884727
3,1,1,23,1.272460355068344
3,1,1,24,1.2843345555936652
3,1,1,25,1.2968442490461483
3,1,1,26,1.3099932039462294
3,1,1,27,1.3237824410384882
3,1,1,28,1.3382101109572788
3,1,1,29,1.353271395874862
3,1,1,30,1.3689584374948147
3,1,1,31,1.385260293455948
3,1,1,32,1.4021629238640854
3,1,1,33,1.4196492092753714
3,1,1,34,1.4376990010216537
3,1,1,35,1.456289204303055
3,1,1,36,1.475393893983476
3,1,1,37,1.4949844625205873
3,1,1,38,1.5150297989525774
3,1,1,39,1.535496497359878
3,1,1,40,1.5563490927314256
3,1,1,41,1.5775503217022122
3,1,1,42,1.5990614052016165
3,1,1,43,1.6208423496697972
3,1,1,44,1.64285226317057
3,1,1,45,1.6650496824609744
3,1,1,46,1.68739290687654
3,1,1,47,1.7098403347612465
3,1,1,48,1.7323507981157524
3,1,1,49,1.754883891157939
3,1,1,50,1.7774002885856455
3,1,1,51,1.7998620495009998
3,1,1,52,1.8222329031949578
3,1,1,53,1.8444785132946515
3,1,1,54,1.86656671713798
3,1,1,55,1.8884677376521473
3,1,1,56,1.9101543654660762
3,1,1,57,1.9316021094719271
3,1,1,58,1.952789314557272
3,1,1,59,1.973697245747053
3,1,1,60,1.9943101385123907
3,1,1,61,2.0146152155114168
3,1,1,62,2.034602670515766
3,1,1,63,2.054265620736247
3,1,1,64,2.073600029184003
3,1,1,65,2.092604599082387
3,1,1,66,2.1112806426735298
3,1,1,67,2.129631927037764
3,1,1,68,2.1476644997602623
3,1,1,69,2.165386497435436
3,1,1,70,2.1828079400952864
3,1,1,71,2.199940514683753
3,1,1,72,2.2167973506768797
3,1,1,73,2.2333927908713913
3,1,1,74,2.2497421602361487
3,1,1,75,2.265861535546368
3,1,1,76,2.281767518305259
3,1,1,77,2.2974770132071667
3,1,1,78,2.313007014116564
3,1,1,79,2.328374399232819
3,1,1,80,2.343595736784474
3,1,1,81,2.358687102244499
3,1,1,82,2.3736639076594273
3,1,1,83,2.388540743179881
3,1,1,84,2.4033312301049183
3,1,1,85,2.418047883294172
3,1,1,86,2.4327019776192222
3,1,1,87,2.447303405626886
3,1,1,88,2.4618604953395313
3,1,1,89,2.476379712203901
3,1,1,90,2.4908650583105723
3,1,1,91,2.5053167082216072
3,1,1,92,2.5197277454311435
3,1,1,93,2.5340761997535712
3,1,1,94,2.548305491800521
3,1,1,95,2.562276325995854
3,1,1,96,2.5756483524044222
3,1,1,97,2.5875892392634174
3,1,1,98,2.596059943347642
3,1,1,99,2.5960599433476754
4,0,0,0,2.9934241741203276
4,0,0,1,2.7314787001087306
4,0,0,2,2.467975914151211
4,0,0,3,2.206587503679648
4,0,0,4,1.9510718760571288
4,0,0,5,1.7050839490206193
4,0,0,6,1.4719838922223993
4,0,0,7,1.2546629971231547
4,0,0,8,1.0554033801955842
4,0,0,9,0.8757843882481493
4,0,0,10,0.7166429814796373
4,0,0,11,0.5780889463008558
4,0,0,12,0.45956958416615884
4,0,0,13,0.3599734857079715
4,0,0,14,0.2777598020960388
4,0,0,15,0.21109835228496862
4,0,0,16,0.1580068430973339
4,0,0,17,0.11647399418099055
4,0,0,18,0.08456082598226489
4,0,0,19,0.06047611739162245
4,0,1,0,2.5961201063516715
4,0,1,1,2.649194579218659
4,0,1,2,2.70002806497382
4,0,1,3,2.746848110558661
4,0,1,4,2.7872051984287713
4,0,1,5,2.8179499740665106
4,0,1,6,2.835305140716425
4,0,1,7,2.8350681608107036
4,0,1,8,2.812958020605343
4,0,1,9,2.7650851721507856
